PELO	PENAS	OVOS	LEITE	VOA	AQUATICO	PREDADOR	DENTES	ESPINHA	RESPIRA	VENENOSO	GARRAS	PERNAS	CAUDA	DOMESTICO	TAMANHO_GATO	TIPO
Não	Sim	Sim	Não	Sim	Não	Sim	Não	Sim	Sim	Não	Não	2	Sim	Não	Não	2
Não	Sim	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Não	Não	2	Sim	Não	Não	2
Não	Sim	Sim	Não	Sim	Não	Não	Não	Sim	Sim	Não	Não	2	Sim	Não	Não	2
Não	Sim	Sim	Não	Não	Não	Não	Não	Sim	Sim	Não	Não	2	Sim	Não	Sim	2
Não	Sim	Sim	Não	Sim	Não	Não	Não	Sim	Sim	Não	Não	2	Sim	Sim	Não	2
Não	Sim	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Não	2	Sim	Não	Sim	2
Não	Sim	Sim	Não	Sim	Não	Não	Não	Sim	Sim	Não	Não	2	Sim	Não	Não	2
Não	Sim	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Não	Não	2	Sim	Não	Sim	2
Não	Sim	Sim	Não	Sim	Sim	Sim	Não	Sim	Sim	Não	Não	2	Sim	Não	Não	2
Não	Sim	Sim	Não	Sim	Sim	Sim	Não	Sim	Sim	Não	Não	2	Sim	Não	Não	2
Não	Sim	Sim	Não	Sim	Não	Não	Não	Sim	Sim	Não	Não	2	Sim	Não	Não	2
Não	Sim	Sim	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não	2	Sim	Não	Sim	2
Não	Sim	Sim	Não	Sim	Não	Sim	Não	Sim	Sim	Não	Não	2	Sim	Não	Sim	2
Não	Sim	Sim	Não	Sim	Não	Não	Não	Sim	Sim	Não	Não	2	Sim	Não	Não	2
Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Não	0	Sim	Não	Não	3
Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Sim	Não	0	Sim	Não	Não	3
Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Não	0	Sim	Não	Não	3
Não	Não	Sim	Não	Não	Não	Não	Não	Sim	Sim	Não	Não	4	Sim	Não	Sim	3
Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Não	4	Sim	Não	Não	3
Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	Sim	0	Sim	Não	Não	4
Não	Não	Sim	Não	Não	Sim	Não	Sim	Sim	Não	Não	Sim	0	Sim	Sim	Não	4
Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	Sim	0	Sim	Não	Não	4
Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	Sim	0	Sim	Não	Não	4
Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	Sim	0	Sim	Não	Sim	4
Não	Não	Sim	Não	Não	Sim	Não	Sim	Sim	Não	Não	Sim	0	Sim	Não	Não	4
Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	Sim	0	Sim	Não	Não	4
Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	Sim	0	Sim	Não	Sim	4
Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	Sim	0	Sim	Não	Não	4
Não	Não	Sim	Não	Não	Sim	Não	Sim	Sim	Não	Não	Sim	0	Sim	Não	Não	4
Não	Não	Sim	Não	Não	Sim	Não	Sim	Sim	Não	Não	Sim	0	Sim	Não	Não	4
Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Sim	Sim	0	Sim	Não	Sim	4
Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	Sim	0	Sim	Não	Sim	4
Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Não	Não	4	Não	Não	Não	5
Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Não	4	Não	Não	Não	5
Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Não	Não	4	Sim	Não	Não	5
Não	Não	Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Não	Não	4	Não	Não	Não	5
Não	Não	Sim	Não	Não	Não	Não	Não	Não	Sim	Não	Não	6	Não	Não	Não	6
Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Não	Não	6	Não	Não	Não	6
Sim	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	6	Não	Sim	Não	6
Sim	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Não	Não	6	Não	Não	Não	6
Não	Não	Sim	Não	Sim	Não	Sim	Não	Não	Sim	Não	Não	6	Não	Não	Não	6
Sim	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Não	Não	6	Não	Não	Não	6
Não	Não	Sim	Não	Não	Não	Não	Não	Não	Sim	Não	Não	6	Não	Não	Não	6
Sim	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	6	Não	Não	Não	6
Não	Não	Sim	Não	Não	Não	Sim	Não	Não	Não	Não	Não	0	Não	Não	Não	7
Não	Não	Sim	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	4	Não	Não	Não	7
Não	Não	Sim	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	6	Não	Não	Não	7
Não	Não	Sim	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	6	Não	Não	Não	7
Não	Não	Sim	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	8	Não	Não	Sim	7
Não	Não	Não	Não	Não	Não	Sim	Não	Não	Sim	Sim	Não	8	Sim	Não	Não	7
Não	Não	Sim	Não	Não	Sim	Sim	Não	Não	Não	Sim	Não	0	Não	Não	Não	7
Não	Não	Sim	Não	Não	Não	Não	Não	Não	Sim	Não	Não	0	Não	Não	Não	7
Não	Não	Sim	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	5	Não	Não	Não	7
Não	Não	Sim	Não	Não	Não	Não	Não	Não	Sim	Não	Não	0	Não	Não	Não	7
