PELO;PENAS;OVOS;LEITE;VOA;AQUATICO;PREDADOR;DENTES;ESPINHA;RESPIRA;VENENOSO;GARRAS;PERNAS;CAUDA;DOMESTICO;TAMANHO_GATO;TIPO
N;N;S;N;N;S;N;S;S;S;N;N;4;N;N;N;5
N;N;S;N;N;N;N;N;N;S;N;N;6;N;N;N;6
N;N;S;N;S;N;N;N;N;S;N;N;6;N;N;N;6
S;N;S;N;S;N;N;N;N;S;S;N;6;N;S;N;6
S;N;S;N;S;N;N;N;N;S;N;N;6;N;N;N;6
N;N;S;N;S;N;S;N;N;S;N;N;6;N;N;N;6
S;N;S;N;S;N;N;N;N;S;N;N;6;N;N;N;6
N;N;S;N;N;N;N;N;N;S;N;N;6;N;N;N;6
S;N;S;N;S;N;N;N;N;S;S;N;6;N;N;N;6
N;N;S;N;N;N;S;N;N;N;N;N;0;N;N;N;7
N;N;S;N;N;S;S;N;N;N;N;N;4;N;N;N;7
N;N;S;N;N;S;S;N;N;N;N;N;6;N;N;N;7
N;N;S;N;N;S;S;N;N;N;N;N;6;N;N;N;7
N;N;S;N;N;S;S;N;N;N;N;N;8;N;N;S;7
N;N;N;N;N;N;S;N;N;S;S;N;8;S;N;N;7
N;N;S;N;N;S;S;N;N;N;S;N;0;N;N;N;7
N;N;S;N;N;N;N;N;N;S;N;N;0;N;N;N;7
N;N;S;N;N;S;S;N;N;N;N;N;5;N;N;N;7
N;N;S;N;N;N;N;N;N;S;N;N;0;N;N;N;7
